"Title","Event Code","Event Rank","Attendance Record","Start Date","End Date","Region","Location","Event Type","Event Location: Street","Event Location: City","Event Location: State","Event Location: Country/Region","Venue","Event Website","Booth Size","Booth%23","Status","Sector","Organizing Company","Business Lines","Show Captain","Ship By Date","Registration Deadline","Mockups/Models","Action Status","Main Event Subject","Notes","Related Documents","Days until Start","Staff_Assigned","Email Header"
"Africa Aerospace and defense AAD","AAD26","3","Existing","9/16/2020","9/20/2020","EMEA","Unknown","[""Walking""]",,,,,,"https://www.aadexpo.co.za/",,,"TBC SALES","ADG","PNT ",,"AWA",,,,"NO GO by SED, If participation confirmed, entrance to be taking care by the sales","The premier exhibition of air, land and sea technologies on the African continent","Requested by : Enzo Devaux
BL: ST4D Sim / INS ? 
Topic : 
Action : N/A
Comments : SED DEF No Go on it - no exhbition from SED",,,,
"NATO Days 2026","NATD26","3","NEW","9/19/2026","9/20/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.natodays.cz/programme",,,"GO","ADG","PNT",,"AWA",,,,"Budget & participation confirmed",,"Requested by : Email received by Sophie
.BL:
Topic : 
Action : N/A
Comments : ",,,,
"SOFT 2026 - Symposium On fusion Technology","SOFT26","3","Existing","9/21/2026","9/25/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://irfm.cea.fr/en/evenement/34th-soft-conference/",,,"GO","GCI","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales",,"Requested by : Walking - Javier B
.BL:
Topic : 
Action : N/A
Comments : ",,,,
"Drone X / Spirent and Spetrio ","DRX26","3","NEW","9/29/2026","9/30/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.dronexpo.co.uk/",,,"TBC SALES","GCI","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Drone ","Requested by : Jay Malguitou
BL: ST4D Sim
Topic : 
Action : N/A",,,,
"ESA Industry Space Day 2026 ESA ISD","EISD26","3","Existing",,,"EMEA","Unknown","[""Exhibition""]",,,,,,"ESA - Industry Space Days",,,"PENDING BUDGET ","ADG","PNT (?)",,"AWA",,,,"Interest confirmed / Budget + participants + products TBC - need to have a meeting with SDS to share the booth ? 
Action : walking before - requested to exhibit ","Space event","Requested by : N/A - Usual Yearly participation
BL: ST4D Sim / Paul-Alexandre
Topic : Walking in 2024
Action : walking before - requested to exhibit ",,,,
"JAMMERTEST 2026","JAMT26","3","Existing",,,"EMEA","Unknown","[""Walking""]",,,,,,"https://jammertest.no/",,,"GO","ADG","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales",,"Requested by : N/A - Usual Yearly participation
BL: ST4D Sim
Topic : Business Devlopment
Action : Trying to have entrance for this year ",,,,
"DGON","DGON26","2","Existing",,,"EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.tu-braunschweig.de/iff/dgon-isa-inertial-sensors-and-applications#:~:text=At%20this%20symposium%20the%20latest%20state%20of%20inertial,well%20as%20investigations%20on%20cost%20and%20marketing%20aspects.",,,"GO","ADG","PNT ",,"AWA",,,,"Interest confirmed / Budget + participants + products TBC","Inertial sensors and navigation systems, gyro technology","Requested by : N/A - Usual Yearly participation
BL: All
Topic : Business Devlopment
Action : Coordinate with SED Defense ",,,,
"Nihonbashi ","NIHO26","3","Existing","10/26/2026","10/26/2026","APAC","Unknown","[""Walking""]",,,,,,"?",,,"TBC SALES","ADG","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","?","Requested by : Quentin Parent
BL: All
Topic : Business Devlopment
Action : ",,,,
"FED 2026","FED26","2","Existing","10/1/2026","10/2/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://pme-eti.fr/forum-entreprises-defense-2025-ouverture-des-inscriptions-visiteurs/#:~:text=Cet%20%C3%A9v%C3%A9nement%20incontournable%20se%20tiendra%20les%208%20et,de%20la%20maintenance%20terrestre%20et%20de%20la%20d%C3%A9fense.",,,"PENDING ","ADG","SED DEF",,"AWA",,,,"Interest TBC","Organisé par la SIMMT et la CCI Paris Île-de-France, réunira les acteurs majeurs de la maintenance terrestre et de la défense, thématique : « Une résilience collective au service de la réussite opérationnelle »","Requested by : N/A - Usual Yearly participation
BL: All
Topic : Business Devlopment
Action : Coordinate with SED ",,,,
"IAC 2026 ","IAC26","2","Existing","10/5/2026","10/9/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.iac2026.org/",,,"GO","ADG","SDS",,"AWA",,,,"Waiting for more information by Safran group","Space event ","Requested by : N/A - Usual Yearly participation
BL: All
Topic : Business Devlopment
Action : Coordinate with SED Space",,,,
"LAND FORCES  2026","LFOR26","2","Existing","10/6/2026","10/8/2026","APAC","Unknown","[""Exhibition""]",,,,,,"https://landforces.com.au/",,,"GO","ADG","SED Australia",,"AWA",,,,"Budget + participants + products TBC 
Comments : 5K minimum requested by SED - do we want more ?"," Region’s premier event for the land defence sector, connecting Australian and international defence, industry, government, academia, and technology leaders in support of national and regional security","Requested by : N/A - Usual Yearly participation
BL: All
Topic : Business Devlopment
Action : Coordinate with SED / Team might walk the show 
Comments : 5K minimum requested by SED - do we want more ?",,,,
"KADEX KOREA","KADK26","2","NEW","10/6/2026","10/10/2026","APAC","Unknown","[""Exhibition""]",,,,,,"https://kadexaroka.com/eng/",,,"GO","ADG","SED DEF",,"AWA",,,,"Interest + budget confirmed, participants/ products TBC","Largest ground weapons expo","Requested by : N/A - Usual Yearly participation
BL: 
Topic : 
Action : Coordinate with SED - replace DX Korea so put the 10000euros there ",,,,
"FURTURE FORCES","FFOR26","2","NEW","10/21/2026","10/23/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://future-forces.cz/?lang=cs",,,"GO","GCI","SED DEF",,"AWA",,,,"Wish of participation TBC"," Central hub for international defence and security networking through the Future Forces events, facilitating B2B, B2G, and G2G interactions","Requested by : 
BL: 
Topic : 
Action : 3000 ? ",,,,
"BSBF - Big Science Business Forum ","BSBF26","1","Existing","10/27/2026","10/30/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.bsbf2026.org/",,,"GO","GCI","PNT",,"AWA",,,,"R&T budget - interest confirmed ","Research infrastructures and industry","Requested by :
BL: R&amp;T
Topic : 
Action : ",,,,
"MRO Europe","MROE26","3","Existing","10/28/2026","10/29/2026","EMEA","Unknown","[""Exhibition""]",,,,,,,,,"GO","ADG","SAFRAN <br>GROUP",,"AWA",,,,"Participants + products TBC","Aviation timing & synchronization","Requested by : 
BL:
Topic : 
Action :Interest of participation for PNT ? ",,,,
"ADAS 2026","ADAS26","2","NEW","11/1/2026","11/1/2026","APAC","Unknown","[""Exhibition""]",,,,,,"https://adas.ph/",,,"GO","ADG","SED DEF",,"AWA",,,,"Budget/ products/ participants TBC 
Action : minimum 5K to give, do we want to put more ? ","Philippine defense and security / Asian defense and security","Requested by : N/A - Usual Yearly participation
BL: All
Topic : 
Action : minimum 5K to give, do we want to put more ? ",,,,
"EURONAVAL 2026","ENAV26","2","Existing","11/3/2026","11/6/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.euronaval.com/",,,"GO","ADG","SED DEF",,"AWA",,,,"Budget confimed / Products + participants TBC ",,"Requested by : 
BL: 
Topic : 
Action : 5000K in Pierre Chambon field ",,,,
"ELECTRONICA 2026","ELCA26","3","NEW","11/10/2026","11/13/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://messe-muenchen.de/en/events/electronica-2026.html",,,"TBC SALES","GCI","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","quality control, maintenance and repair of electronic assemblies, devices and machinery","Requested by : 
BL: 
Topic : 
Action :",,,,
"NATO EDGE Conference","EDGE26","3","Existing","11/17/2026","11/19/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.natoedge.nato.int/event/14e84c3e-cf67-42ff-8bb2-07d6e2c96f33/home",,,"TBC SALES","ADG","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Defence and technology spectrum","Requested by : 
BL: 
Topic : 
Action :",,,,
"ITSF 2026","ITSF26","3","Existing","11/26/2026","11/26/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://itsf2025.executiveindustryevents.com/Event/",,,"GO","GCI","PNT ",,"AWA",,,,"Interest confirmed / Budget + participants + products TBC ","Leading timing and synchronization conference events","Requested by : N/A - Usual Yearly participation
BL: ST4D Timing &amp; STT Clocks
Topic : New solution promotion
Action : Check Out booth Availability &amp; Pricing",,,,
"SPACE TECH EXPO ","STEX26","2","Existing","11/26/2026","11/26/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.spacetechexpo-europe.com/",,,"TBC SDS","ADG","SDS",,"AWA",,,,"Interest confirmed / Budget + participants + products TBC ","Space events","Requested by : N/A - Usual Yearly participation
BL: All
Topic : 
Action : Paul Alexandre feedback - check to take the booth if SDS don&#39;t go",,,,
"MARRAKESH AIRSHOW (TBC)","MARA26","2","NEW",,,"EMEA","Unknown","[""Exhibition""]",,,,,,,,,"TBC SAFRAN GROUP","ADG","SAFRAN <br>GROUP",,"AWA",,,,"Participants products TBC","Aerospace","Requested by : N/A - Usual Yearly participation
BL: All
Topic : 
Action : Coordinate with SED Defense- robably mandatory - minimum 5k ",,,,
"DEFEXPO INDIA 2026","DEXI26","2","Existing",,,"APAC","Unknown","[""Exhibition""]",,,,,,,,,"GO","ADG","SED DEF",,"AWA",,,,"Waiting for more information by the organizer","Defence India","Requested by : N/A - Usual Yearly participation
BL: All
Topic : New solution promotion
Action : Coordinate with SED ",,,,
"INDO DEFENSE 2026","INDD26","2","Existing","11/18/2021","11/21/2021","APAC","Unknown","[""Exhibition""]",,,,,,,,,"GO","ADG","SED DEF",,"AWA",,,,"Interest + Budget confirmed /  participants + products TBC ","https://indodefence.com/","Requested by : N/A - Usual Yearly participation
BL: All
Topic : 
Action : Coordinate with SED",,,,
"EUROPEAN ROTORS 2026 ","EROT26","2","Existing",,,"EMEA","Unknown","[""Exhibition""]",,,,,,"https://europeanrotors.eu/future-years/",,,"GO","ADG","SHE",,"AWA",,,,"Budget to increase + participants / products TBC
Warning : need to give more money ","rotorcraft industry","Requested by :
BL: 
Topic : 
Action : Minimum 5k probably more - need to give more ",,,,
"STAC Australia 2026","STAU26","3","Existing",,,"APAC","Unknown","[""Exhibition""]",,,,,,"https://stacresearch.com/events/
",,,"PENDING","GCI","PNT ",,"AWA",,,,"Level of participation TBC to allocate a budget - 7000e - sales didn't show up in 2025","Timing for financial markets & high-precision trading, Sychronization","Requested by : Danny, Jacob and Moderntech
BL: ST4D Timing
Topic : White Rabbit and TimeLynx as a new solution promotion
Action : Confirm we can contribute $7k for co-sponsorship. Level of participation TBC to allocate a budget - 7000e request - sales didn&#39;t show up in 2025 ",,,,
"STAC LONDON FALL 2026","STLF26","3","Existing",,,"EMEA","Unknown","[""Walking""]",,,,,,"https://stacresearch.com/events/",,,"TBC SALES","GCI","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Timing for financial markets & high-precision trading, Sychronization.","Requested by :
BL: 
Topic : 
Action :",,,,
"MRO Asia-Pacific(no exhibits on MROs) (TBC)","MROA26","2","NEW",,,"APAC","Unknown","[""Exhibition""]",,,,,,"https://mroasia.aviationweek.com/en/info/about.html",,,"GO","GCI","SAFRAN <br>GROUP",,"AWA",,,,"2026 Safran rules TBC ","leading event in the region for the commercial aviation aftermarket","Requested by :
BL: 
Topic : 
Action :",,,,
"Semana Naval Cartagena ","SNC26","3","NEW",,,"EMEA","Unknown","[""Walking""]",,,,,,"?",,,"GO","ADG","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","?","Requested by : Carlos Frias 
BL: SED Spain
Topic : 
Action :",,,,
"DESEi+d ","DESE26","3","Existing",,,"EMEA","Unknown","[""Walking""]",,,,,,"?",,,"GO","ADG","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","?","Requested by : Carlos Frias 
BL: SED Spain - Speaker in 2025
Topic : 
Action :",,,,
"FORO DEL TOLEDO","FDT26","3","Existing",,,"EMEA","Unknown","[""Walking""]",,,,,,,,,"GO","ADG","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","F2E+I Forum – Military–Industry–Academia collaboration, technological innovation, Army 35 transformation.","Requested by : Carlos Frias 
BL: SED Spain - No booth in 2025
Topic : 
Action : Waiting for the dates ",,,,
"SOFEX","SOFEX26","3","Existing",,,"EMEA","Unknown","[""Walking""]",,,,,,"https://www.nsalons.com/sofex/",,,"TBC SALES","ADG","SED DEF",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Defense and security in the Middle East ","Requested by :
BL: 
Topic : 
Action :",,,,
"NAVISP","NAVI26","3","Existing",,,"EMEA","Unknown","[""Walking""]",,,,,,"https://navisp.esa.int/",,,"TBC SALES","GCI","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","PNT - ESA’s Navigation Innovation and Support Program","Requested by :
BL: 
Topic : 
Action :",,,,
"TSN/A","TSNA26","1","Existing",,,"EMEA","Unknown","[""Exhibition""]",,,,,,"https://tsnaconference.de/frontend/index.php",,,"GO","GCI","PNT",,"AWA",,,,"Interest confirmed / products + participants TBC ","Conference on latest developments and applications of Time-Sensitive Networking (TSN)","Requested by : R&amp;T
BL: R&amp;T
Topic : 
Action : price can be decreased - product shipted in 2025 for nothing ",,,,
"Chips JU BROKERAGE","CJUB26","3","NEW",,,"EMEA","Unknown","[""Exhibition""]",,,,,,"https://ecs-brokerage-event.eu/",,,"GO","GCI","PNT",,"AWA",,,,"Budget allocation R&T or PNT TBC  ? ","The event combines the brokerage activities of the industry associations AENEAS, EPoSS and INSIDE into one networking event dedicated to project proposals for the new Chips JU Calls 2026","Requested by : R&amp;T
BL: R&amp;T
Topic : 
Action :",,,,
"LLRF Workshop 2026","LLRF26","3","Existing",,,"EMEA","Unknown","[""Exhibition""]",,,,,,"http://www.llrf.net/",,,"PENDING","GCI","PNT ",,"AWA",,,,"Interest confirmed / Budget + products + participants TBC ","Low-level radio frequency ","Requested by : R&amp;T
BL: R&amp;T
Topic : 
Action :",,,,
"ITSNT 2026","ITSN26","3","Existing",,,"EMEA","Unknown","[""Exhibition""]",,,,,,"International Technical Symposium on Navigation and Timing – ITSNT",,,"GO","GCI","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Annual event organized by CNES and ENAC for professionals and researchers working with or interested in navigation and timing technologies and their use","Requested by : 
BL:
Topic :
Action : ",,,,
"Teknologia 2026","TEKN26","3","NEW",,,"EMEA","Unknown","[""Exhibition""]",,,,,,"https://teknologia.messukeskus.com/en/.",,,"GO","GCI","PNT ",,"AWA",,,,"Interest confirmed / products + participants TBC ","automation • electronics • energy • hydraulics and pneumatics • mechanical engineering • robotics • maintenance • ICT • 3D • Dual-use technologies  • Quantum technology ","Requested by : 
BL: ST4D
Topic :
Action : ",,,,
"EUSPA Industry Days","EUSP26","3","Existing",,,"EMEA","Unknown","[""Walking""]",,,,,,"https://www.euspa.europa.eu/newsroom-events/events/euspa-industry-days",,,"TBC SALES","GCI","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Space-based PNT technologies
GNSS resilience &amp; multi-sensor navigation","Requested by : 
BL: 
Topic :
Action :",,,,
"DALO DAYS","DALO26","3","Existing",,,"EMEA","Unknown","[""Walking""]",,,,,,"https://defencetech.dk/events/dalo-days-2026#:~:text=Denmark%27s%20premier%20defense%20industry%20exhibition%20typically%20takes%20place,Ministry%20of%20Defence%20Acquisition%20and%20Logistics%20Organisation%20%28DALO%29.",,,"GO","ADG","SED DEF",,"AWA",,,,"DEF goes as walking - what about us ? ","Tactical PNT &amp; secure timing
Defense synchronization solutions","Requested by : 
BL: 
Topic : 
Action : SED booth in the French Pavillon - participation TBC",,,,
"IPNT KOREA","IPNK26","3","Existing",,,"APAC","Unknown","[""Exhibition""]",,,,,,"https://ipnt.jams.or.kr/jams_info.html",,,"PENDING","ADG","PNT ",,"AWA",,,,"Budget + participants + products TBC","PNT & GNSS-resilient timing","Requested by : Jacob 
BL:
Topic : 
Action : Previously only for engineers - co-exhibit with ETOBB in 2025 - Primier Scientific event focusing on PNT",,,,
